title,director,genre,plot
Dead Alive,Peter Jackson,Horror,"A young man must deal with his overbearing mother turning into a ravenous zombie after an exotic monkey bite, causing an outbreak in his neighborhood."
Pan's Labyrinth,Guillermo del Toro,Fantasy,"In post-civil war Spain, a young girl escapes her cruel military stepfather by discovering a hidden stone labyrinth guarded by a mythical faun creature."
The Shape of Water,Guillermo del Toro,Romance,A mute cleaning woman working inside a high-security government research facility in the 1960s discovers and falls in love with an amphibious creature.
Hellboy,Guillermo del Toro,Action,A red-skinned demon raised by a secret government agency fights occult forces and paranormal threats to protect humanity from dark incursions.
Hellboy II: The Golden Army,Guillermo del Toro,Action,Hellboy must stop an underground elven prince from awakening an unstoppable legion of mechanical warriors to eradicate the human race.
Pacific Rim,Guillermo del Toro,Sci-Fi,Humanity deploys massive pilot-controlled mechanical suits to fight towering alien monsters that emerge from a portal beneath the Pacific ocean.
Crimson Peak,Guillermo del Toro,Horror,"An aspiring author marries a mysterious aristocrat and moves to his decaying gothic mansion, discovering the house harbors ghostly entities and dark secrets."
Nightmare Alley,Guillermo del Toro,Thriller,"An ambitious carnival worker skilled in psychological manipulation swindles wealthy elites in 1940s society, allied with a dangerous psychiatrist."
Cronos,Guillermo del Toro,Horror,"An elderly antique dealer uncovers a golden mechanical scarab artifact that grants youth and immortality, discovering it requires a hunger for human blood."
The Devil's Backbone,Guillermo del Toro,Horror,An orphan boy arriving at a remote school during the Spanish Civil War is haunted by the spectral image of a student murdered on the grounds.
Blade II,Guillermo del Toro,Action,The vampire hunter Blade forms a temporary alliance with an elite vampire squad to hunt down a mutated strain of monsters that preys on both humans and vampires.
